Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;20;Unidade;100;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;18;Unidade;250;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;50;Unidade;125;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;5;Forma;36;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1500;Kg;3600;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;200;Unidade;2400;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;300;Unidade;1050;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;70;Unidade;1200;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;3;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1200;Kg;960;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;15;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;300;Kg;480;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;200;Unidade;3750;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;300;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Acai;600;Kg;1200;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;180;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;30;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;900;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;240;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Acai;100;Kg;300;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;160;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;120;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;900;Kg;1920;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;5;Unidade;0;;;
